ID,SOURCE,SECTION,LINE,RULE,ENFORCED,MECHANISM,VERIFIED,ANCHOR_CORRECT,BINDS,EXECUTES_HERE,STILL_CURRENT,DISPOSITION,NOTE
C099,CLAUDE.md,Observability,559,The observability mechanism row goes in project_config_overview.md,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Grepped placeholders.sh: it guards bootstrap placeholders, not that a stack row was actually chosen. A section-completeness stage would fire. || no mechanism exists"
C100,CLAUDE.md,Cost,575,"Every billable path is priced, capped and alertable BEFORE it is wired into a loop",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,No blueprint mechanism. Realistically a project-level gate; blueprint can only check the declaration exists. || no mechanism exists
C101,CLAUDE.md,Cost,581,Every billable code path declares a budget cap enforced as a hard stop,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same. The $10 linkedin-watcher incident is the worked example of the gap. || no mechanism exists
C102,CLAUDE.md,Cost,587,Every billable code path logs its actual spend per invocation,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same. || no mechanism exists
C103,CLAUDE.md,Cost,593,"Every billable path alerts on cap breach, once on the rising edge",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same. || no mechanism exists
C104,CLAUDE.md,Cost,597,Backlog-replay paths require an explicit opt-in flag; implicit replay is a defect,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same. Highest-consequence unenforced rule in this section given the real incident. || no mechanism exists
C105,CLAUDE.md,Cost,620,The cost mechanism row goes in project_config_overview.md,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Declaration-completeness check. || no mechanism exists
C106,CLAUDE.md,Security,642,No secrets in code or git history; gitleaks blocks the push,GATE,.githooks/pre-push:273,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"gitleaks is installed here so the stage runs (verified availability). Fails closed on tool error, on timeout, and requires a timeout provider."
C107,CLAUDE.md,Security,643,A leaked secret is rotated BEFORE the commit is investigated,NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,The hook's failure text says exactly this; ordering of human response cannot be gated. || no mechanism exists
C108,CLAUDE.md,Security,646,Semgrep and lint security plugins run in pre-push and block on WARNING+,GATE,.githooks/pre-push:376,READ,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"Semgrep half is real and installed, with a clean/finding/incomplete tri-state that blocks on tool failure. The ""lint security plugins"" half has no linter here."
C109,CLAUDE.md,Security,648,Suppressions need a justification comment naming the threat-model entry,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,The hook's message asks for it; nothing checks a nosemgrep line carries a justification. A grep guard would. || no mechanism exists
C110,CLAUDE.md,Security,650,osv-scanner runs on every push; trivy config before deploy; nightly re-scan,GATE,.githooks/pre-push:403 + .github/workflows/security.yml:23,READ,UNSURE,ALL-IF-ARMED,NEVER,UNKNOWN,MECHANISE,osv-scanner in pre-push and CI plus a scheduled job are real; trivy appears nowhere in this repo. One of three named tools is missing. || trivy appears nowhere in the repo
C111,CLAUDE.md,Security,654,The agent fixes security findings autonomously when possible,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Behavioural. || no mechanism exists
C112,CLAUDE.md,Security,672,Security mechanism row and threat model go in project_config_security.md,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Declaration-completeness check. || no mechanism exists
C113,CLAUDE.md,Infrastructure as Code,687,Everything in prod is defined in code; imported within a week or deleted,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Needs a live cloud account; project-level nightly drift job is the anchor the prose itself names. || no mechanism exists
C114,CLAUDE.md,Infrastructure as Code,691,Every infra change is reviewable as a diff; a PR touching infra/ without one is incomplete,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,A CI job could post cdk diff on any PR touching infra/. No infra/ exists here. || no mechanism exists
C115,CLAUDE.md,Infrastructure as Code,695,Environments are reproducible from the same code; envs are parameters,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Architectural property. || no mechanism exists
C116,CLAUDE.md,Infrastructure as Code,699,Drift is detected nightly; drift open >24h becomes a findings.md entry,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,The nightly job is named but does not exist in .github/workflows (only security.yml is present). || no mechanism exists
C117,CLAUDE.md,Infrastructure as Code,718,"Infra mechanism row in project_config_overview.md, details in project_config_infra.md",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Declaration-completeness check. || no mechanism exists
C118,CLAUDE.md,Documentation,746,"Every user-facing change touches every external doc in the sync list, in the same commit",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Anchor is commit-scoped and therefore genuinely checkable: if the diff touches a surface, require the paired doc in the same commit. || no mechanism exists"
C119,CLAUDE.md,Documentation,752,Every code-state-changing internal artefact moves with the state it describes,TEST,tests/lifecycle-docs/test.sh:78,READ,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,Partly covered for BUG artefacts and plans; findings.md Status: Fixed and threat-model updates are unchecked.
C120,CLAUDE.md,Documentation,758,Every blueprint-level concern change updates the deck and the recipe doc in the same commit,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Grepped tests/, .githooks/, .github/ for ""way-of-working"": zero hits (only build-deck.sh/new-project.sh/blueprint reference it). The rule notes it self-violated twice. || no mechanism exists"
C121,CLAUDE.md,Documentation,766,Doc drift is detected by a pre-push grep hint plus a handoff box that refuses the mic flip,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"MECHANISM DOES NOT EXIST: no doc-drift grep stage in either hook, and no mic-flip refusal anywhere. The rule describes controls that were never built. || no mechanism exists"
C122,CLAUDE.md,Documentation,787,The doc-sync list goes in project_config_dod.md with Internal and External tables,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Section/table presence is checkable. || no mechanism exists
C123,CLAUDE.md,Code Quality,794,Run periodic code reviews from multiple perspectives,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Cadence rule with no owner or trigger. || no mechanism exists
C124,CLAUDE.md,Code Quality,795,Eliminate redundant DB reads; cache in middleware rather than re-fetching,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Project-level and language-specific; a lint rule at best. || no mechanism exists
C125,CLAUDE.md,Code Quality,796,"Remove dead code: unused imports, parameters, constants, state fields",NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Exactly what a linter does, and this repo has no linter. Mechanising this means adding one (shellcheck for the shell it actually has). || no mechanism exists"
C126,CLAUDE.md,Code Quality,797,Do not duplicate logic; extract shared helpers,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Sonar duplication metric is the standard anchor; the Sonar gate is itself unenforced (see below). || no mechanism exists
C127,CLAUDE.md,SonarQube,822,Run the scan with npm run sonar,NONE,,EXEC,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,"No root package.json and no sonar-scanner installed, so npm run sonar cannot run here at all. sonar-project.properties exists. || no mechanism exists"
C128,CLAUDE.md,SonarQube,832,"Triage in order: BUG, then BLOCKER/CRITICAL, then MAJOR, then MINOR",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Workflow ordering advice. || no mechanism exists
C129,CLAUDE.md,SonarQube,834,"Every finding is fixed, or deferred with the rule, count and reason in the commit message",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Commit-msg could require a deferral trailer when one is claimed, but detecting silent deferral needs the scan. || no mechanism exists"
C130,CLAUDE.md,SonarQube,840,Quality Gate OK is the bar; ERROR blocks the handoff to the founder,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Nothing queries the gate. A pre-push or pre-handoff stage calling scripts/sonar-api.sh is the anchor. || no mechanism exists
C131,CLAUDE.md,SonarQube,843,"After each fix commit, re-scan and check the new-code gate",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same anchor as above. || no mechanism exists
C132,CLAUDE.md,SonarQube,849,The pre-push gate enforces the same coverage threshold locally as SonarQube,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"FALSE: the pre-push gate enforces no coverage threshold at all here, so there is nothing for Sonar to mirror. Third false coverage claim. || no mechanism exists"
C133,CLAUDE.md,SonarQube,857,The code-quality mechanism row goes in project_config_overview.md,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Declaration-completeness check. || no mechanism exists
C134,CLAUDE.md,Architecture Principles,865,No hardcoded configuration; everything configurable and stored in the config store,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,A grep guard for literal endpoints/keys is plausible; semgrep already runs and could carry the rule. || no mechanism exists
C135,CLAUDE.md,Architecture Principles,866,Keep it simple; do not over-engineer,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Judgement. || no mechanism exists
C136,CLAUDE.md,Architecture Principles,867,"DRY: reuse before adding a route, modal or service; justify a new one in the plan",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,"Declared ""review-blocking"", which correctly names review as its anchor. || no mechanism exists"
C137,CLAUDE.md,Architecture Principles,873,Preserve user work and show diffs so users see what changed,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Product behaviour; per-project acceptance test. || no mechanism exists
C138,CLAUDE.md,Blueprint sync,884,Use the blueprint CLI directly; do not hand-roll diff -ru invocations,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Low stakes; the CLI being easier is the real enforcement. || no mechanism exists
C139,CLAUDE.md,Wake-time drift check,890,Run blueprint drift on every fresh session (mandatory),NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Nothing observes whether it ran. A SessionStart hook running it is the obvious anchor and would also arm the gate, which drift already does. || no mechanism exists"
C140,CLAUDE.md,Wake-time drift check,893,"Run it as one plain command, never wrapped in a compound",HOOK,scripts/no-chain-guard.sh,EXEC,YES,CLAUDE-ONLY,UNKNOWN,UNKNOWN,ALREADY-OK,"The documented bad example uses && and ||, which the guard blocks. Verified by the guard blocking my own compounds."
C141,CLAUDE.md,Wake-time drift check,911,"On drift, surface a summary to the founder and do NOT silently pull",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,"blueprint pull is interactive by default, which is the de facto anchor; --yes bypasses it. || no mechanism exists"
C142,CLAUDE.md,Wake-time drift check,914,"On a stale blueprint, bump .blueprint-source bootstrap_sha and proceed",NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,"blueprint pull does this automatically, so the agent-facing rule is redundant with the tool. || no mechanism exists"
C143,CLAUDE.md,Pulling forward,924,Use blueprint pull --yes only when the founder asks for it,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"No mechanism can know the founder asked. Interactivity is the default, which is the practical guard. || no mechanism exists"
C144,CLAUDE.md,Pulling forward,927,"After a non-empty pull, review with git diff and commit in the project repo",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Behavioural. || no mechanism exists
C145,CLAUDE.md,Pulling forward,928,Never hand-edit .blueprint-source bootstrap_sha,TEST,tests/pull-behaviour/,READ,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,pull-behaviour (BUG-016/018) pins that pull maintains it; a hand-edit is possible but self-correcting on the next pull.
C146,CLAUDE.md,main is its trunk,933,Commit and push to main like any other project; no branch or PR is required,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,"Intentionally unenforced, and the prose says so. Verified the enforcement was removed: no pre-commit hook and tests/branch-guard is gone. || no mechanism exists"
C147,CLAUDE.md,Back-propagating,969,Offer to back-propagate a generic improvement rather than committing only locally,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,A drift-style prompt when a commit touches a managed file would anchor it; MANAGED_FILES already exists to compare against. || no mechanism exists
C148,CLAUDE.md,Back-propagating,1010,Do not write or rely on the claim that a derived project cannot write to the blueprint,NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,A documentation-honesty rule; correctly stated as prose since no mechanism can hold it. || no mechanism exists
C149,CLAUDE.md,Back-propagating,1014,a2bp requires config_version = 2 in .blueprint-source,TEST,tests/a2bp-inputs/ + tests/a2bp-request/,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,A version 1 config refuses and prints the required lines; pinned by the a2bp input suites.
C150,CLAUDE.md,Back-propagating,1022,The blueprint remote is never inferred from the local checkout's origin,TEST,tests/a2bp-request/,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"Pinned by the request suite; pushing a request to the wrong repo is unrecoverable, hence the explicit config."
C151,CLAUDE.md,Back-propagating,1036,a2bp exit statuses are distinct and filing is deliberately non-zero (3/4/5/6),TEST,tests/a2bp-pr-filing/,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,Exactly the shape this audit asks for: the rule is a return code and a suite pins each branch.
C152,CLAUDE.md,Back-propagating,1041,Exit 3 means a PR actually exists; a pushed branch with no PR is 5,TEST,tests/a2bp-pr-filing/,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,BUG-011 regression. A run that returned 3 while filing nothing was the defect.
C153,CLAUDE.md,Back-propagating,1048,"A back-propagation is a request, not a delivery; the owner implements it",NONE,,READ,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,"a2bp has no merge verb, which is the structural half. The rest is the reviewer's judgement, as stated. || no mechanism exists"
C154,CLAUDE.md,Back-propagating,1058,"No automatic merge: no auto-merge setting, no bot, no landing verb",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,A property of what is absent; nothing prevents someone adding auto-merge later. A repo-settings assertion could. || no mechanism exists
C155,CLAUDE.md,Back-propagating,1060,No self-integration without a distinct decision step,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"CLAUDE.md concedes ""nothing mechanical prevents it"". Honest, and correctly labelled in the prose already. || no mechanism exists"
C156,CLAUDE.md,Back-propagating,1068,The contamination guard scans every staged line; findings stop the request,TEST,tests/a2bp-contamination/ + scripts/lib/contamination.sh,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,41 assertions guarding the door BUG-002 and A-09 came through; the alignment-derived exemption was deliberately removed.
C157,CLAUDE.md,Back-propagating,1076,There is no --force; passing it is refused loudly,TEST,tests/a2bp-contamination/,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"Refusal rather than silent ignore, so the caller learns the override is gone."
C158,CLAUDE.md,Back-propagating,1078,"A contamination finding has two answers: fix it, or a justified a2bp-allow",TEST,scripts/lib/contamination.sh,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"The justification text is required by the guard, not merely requested."
C159,CLAUDE.md,Back-propagating,1108,"The a2bp branch carries the project name verbatim, never slugged",TEST,tests/a2bp-request/,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"A name that cannot be a git ref component files no request and says so, preserving provenance."
C160,CLAUDE.md,Back-propagating,1116,"Deck, recipe and README ripples belong to the implementer's session",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same unenforced doc-sync as line 758; A2BP_PLAYBOOK states it but nothing checks it. || no mechanism exists
C161,CLAUDE.md,Back-propagating,1129,Project-specific edits go in project_config_*.md and are never back-propagated,TEST,scripts/lib/contamination.sh,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"The guard blocks host paths, state dirs and surviving project names on the a2bp path."
C162,CLAUDE.md,derived not designed,1154,Do not invent capabilities directly in the blueprint; prove them downstream first,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Provenance of an idea is not repo-observable. The stated exceptions make it a judgement rule. || no mechanism exists
C163,CLAUDE.md,derived not designed,1161,"Blueprint-only machinery is fixed here directly, with a reproducer under tests/",TEST,tests/manifest/,READ,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"manifest requires every runner to be invoked, but nothing ties a blueprint-only fix to a new reproducer."
C164,CLAUDE.md,derived not designed,1169,Say in the commit body why a change could not be proven downstream,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,"A commit-msg trailer requirement is the plausible anchor, but only for changes it can classify. || no mechanism exists"
C165,CLAUDE.md,derived not designed,1171,Do not over-engineer the blueprint,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Judgement. || no mechanism exists
C166,CLAUDE.md,derived not designed,1174,"When proposing a2bp, the pattern must have already held up downstream",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"Founder-side question, explicitly asked at review time. || no mechanism exists"
C167,CLAUDE.md,What sync covers,1181,The canonical synced-file list is MANAGED_FILES; run blueprint files,NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,"A single source of truth, which is the property that matters; blueprint files prints it. || no mechanism exists"
C168,CLAUDE.md,What sync covers,1183,Move a project-specific incident or path out of a managed file before committing,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"The contamination guard only runs on the a2bp path, not on commits into the blueprint. A pre-push scan of managed files would close it. || no mechanism exists"
C169,CLAUDE.md,way-of-working,1190,Every blueprint-level concern change lands in the deck in the same commit,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Zero references to way-of-working.md in tests/, .githooks/ or .github/. The most-repeated unenforced rule in the file (also at 758 and 1116). || no mechanism exists"
C170,CLAUDE.md,way-of-working,1205,"Tightening a DoD rule, adding a CLAUDE.md principle or a new CLI updates the matching slide",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same gap. A pre-push stage comparing touched paths against deck sections is the plausible control. || no mechanism exists
C171,CLAUDE.md,way-of-working,1212,"If a change is internal-only, say so in the commit message; default to updating the deck",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Pairs with the above: a commit touching a concern file must either touch the deck or carry an opt-out trailer. || no mechanism exists
D001,DoD.md,§1 table,27,Work flows backlog/ -> doing/ -> waiting-acceptance/ -> done/ and only in that order.,TEST,tests/lifecycle-docs/test.sh:54,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"Suite ran green; #3 checked 3 real artefacts. Folder membership is self-authoritative, so only artefact travel needs a control."
D002,DoD.md,§1 table,34,"An item leaves doing/ when its PR MERGES to main, not when a branch is pushed.",NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,STALE: TASK-019 (docs/doing/BACKLOG.md:15) made this repo trunk-based and deleted the branch guard; .githooks/pre-push:145-151 says so. Rule describes a workflow that ended. || no mechanism exists
D003,DoD.md,§1 table,35,waiting-acceptance/ holds merged work; only an explicit founder acceptance moves it on.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"No grep hit for any founder-acceptance check. Mechanisable only as ""no row moved to done/ in the same push that created it"". || no mechanism exists"
D004,DoD.md,§1,38,A rejected or regressed item moves back from waiting-acceptance/ to doing/ in the same handoff turn.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Requires knowing the founder rejected it. Could anchor on: a row bearing a REOPENED marker must sit in doing/. || no mechanism exists
D005,DoD.md,§1,43,Every backlog/ row carries an explicit re-open trigger or an OBSOLETE marker.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Purely textual and fully mechanisable: every row in docs/backlog/*.md needs a non-empty trigger column or OBSOLETE. lifecycle-docs checks phantom rows, not trigger presence. || no mechanism exists"
D006,DoD.md,§1,46,"doing/ is not a graveyard: check after every MERGE, not every push, and move landed items.",NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Same TASK-019 staleness as L34. On a trunk-based repo the trigger is the push, so the stated trigger no longer exists. || no mechanism exists"
D007,DoD.md,§1,50,Never promote straight from doing/ (or backlog/) to done/.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,Mechanisable in the gate: a row that appears in done/ in this push must have existed in waiting-acceptance/ at the parent commit. git can answer that. || no mechanism exists
D008,DoD.md,§1,52,done/ is founder-only; agents never auto-promote.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,"project_config_dod.md:162-193 already delegates part of this to QA-2, so the generic rule is already overridden and unenforced. Same git-history control as L50. || no mechanism exists"
D009,DoD.md,§1,54,backlog/ is for someday-maybe; doing/ is for this-or-next session; moves happen in a grooming pass.,NONE,,READ,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Judgement about intent. Not mechanisable; keep as documentation. || no mechanism exists
D010,DoD.md,§1b rule 1,65,All work refers to a TASK-/FEATURE-/BUG- number with a row under docs/backlog/.,GATE,scripts/lib/dod-gate.sh:94 via .githooks/pre-push-project:842,EXEC,NO,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,Stage FIRES (dod-gate #1 proved it fails and names the item). But it accepts a row in ANY of the four folders (dod-gate.sh:76) while the rule says docs/backlog/. Anchor is looser than the text.
D011,DoD.md,§1b rule 2,72,"Promote the item to doing/ BEFORE starting work, not at commit time.",GATE,scripts/lib/dod-gate.sh:106,EXEC,NO,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"Only pipe_note-d, never failed (""rows outside doing/""), and it cannot see WHEN the promotion happened. The ""before"" half — the whole rule — is unenforced."
D012,DoD.md,§1b rule 3,77,One item per commit; the subject starts with BUG#n:/FEATURE#n:/TASK#n:.,COMMIT-MSG,.githooks/commit-msg:84 + scripts/lib/commit-subject.sh,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,Fails closed on unreadable msg (:41) and missing lib (:64). Backed at PR level by .github/workflows/security.yml:137-149 (PR title) and :150-158 (every commit).
D013,DoD.md,§1b rule 3,83,A commit serving two items is two commits.,NONE,,READ,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,The DoD itself says the hook cannot check this. Nothing else does either. Only a reviewer reading a diff can; keep it labelled unchecked. || no mechanism exists
D014,DoD.md,§1b rule 4,94,Work implemented by one provider is reviewed by an agent of the OTHER provider before it moves on.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,"dod_stage_judgement (dod-gate.sh:200) PRINTS it, returns 0. Mechanisable: require a review artefact naming the provider + reviewed commit range per item. || no mechanism exists"
D015,DoD.md,§1b rule 5,104,"All gates green: pre-push passes in full, no demotions, no --no-verify, no ""CI will catch it"".",HOOK,.claude/settings.json:203 Bash(* --no-verify*) deny,EXEC,NO,CLAUDE-ONLY,UNKNOWN,UNKNOWN,MECHANISE,"The deny only binds the AGENT, not a human or a script. Nothing server-side rejects a push whose gate did not run; core.hooksPath is repo-local (armed here, verified via git config)."
D016,DoD.md,§1b rule 6,107,"Product repos push to main; the BLUEPRINT lands only via branch + PR, never a direct push to main.",NONE,,EXEC,NO,UNANCHORED,N/A,STALE,DELETE-AS-ASPIRATION,"FLATLY STALE. TASK-019 deleted pre-commit, the pre-push refusal and tests/branch-guard (pre-push:145-151 records it). Only DoD.md still says it. || no mechanism exists; TASK-019 made the blueprint trunk-based; rule should gate EXTERNAL contribution (a2bp PR), not the repo"
D017,DoD.md,§1b rule 7,120,Landing moves the item to waiting-acceptance/; a still-open PR keeps it in doing/.,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Same TASK-019 staleness. On a trunk-based repo, mechanisable: a row for an item whose commits are on origin/main must not still be in doing/. || no mechanism exists"
D018,DoD.md,§1b rule 8,124,"Plans, mockups, spike code and outputs travel through the lifecycle in the same commit as the row.",TEST,"tests/lifecycle-docs/test.sh:54-83, wired at .githooks/pre-push-project:336",EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"Ran it: ""#3 all 3 per-item artefact(s) sit with their row"" — non-vacuous but thin. Matches PLAN-*.md and item-named folders only; loose artefacts are invisible."
D019,DoD.md,§1c rule 1,140,"At an lcm pass, every item sits in the folder matching its TRUE state.",NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,True state is judgement. The mechanisable slice is the landed-but-still-in-doing/ case (see §1b rule 7). || no mechanism exists
D020,DoD.md,§1c rule 2,145,"The live baton matches the folders: if Task claims artefacts wait, ls waiting-acceptance/ shows them.",NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"dod_stage_signal (dod-gate.sh:174) checks the baton is WELL-FORMED only, never that Task is true. Mechanisable: parse item ids from Task, assert each row exists. || no mechanism exists"
D021,DoD.md,§1c rule 3,147,Every parked backlog item has a re-open trigger or an OBSOLETE marker.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,Duplicate of §1 L43; same column-presence control would cover both. || no mechanism exists
D022,DoD.md,§1c rule 4,149,Nothing is auto-promoted to done/.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same git-history control as §1 L50/L52. || no mechanism exists
D023,DoD.md,§1c rule 5,150,"Lifecycle documents must say something TRUE, not merely have the right membership.",TEST,tests/lifecycle-docs/test.sh:96-134 + tests/doc-links/test.sh:44-60,EXEC,NO,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"Both ran green. But #4 scopes to docs/{state}/ tables, so the five all-empty rows in project_config_dod.md:101,122,160,203,218 are invisible — the defect it names."
D024,DoD.md,§1c,175,The lcm pass performs only non-founder-gated moves and merely surfaces the gated ones.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"Constrains agent behaviour during a pass, not repo state. Partly covered by mechanising §1 L50. || no mechanism exists"
D025,DoD.md,§2.1,185,Bug numbers are sequential and never reused.,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Trivially mechanisable: collect every BUG-nnn row across the four folders and assert ids are unique and contiguous. Ran the probe (.scratch/dupcheck.sh): 87 rows, no duplicates today. || no mechanism exists"
D026,DoD.md,§2.2,186,A bug's row exists in exactly ONE of the BUGS.md files at any time.,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"dod_find_row (dod-gate.sh:71-85) RETURNS ON FIRST MATCH over backlog->doing->waiting-acceptance->done, so a duplicated row is structurally invisible to the gate. || no mechanism exists"
